Number of Records,Year,Marriage Rate,State,State_name
1,1990,10.2,AK,Alaska
1,1990,10.6,AL,Alabama
1,1990,15.3,AR,Arkansas
1,1990,10,AZ,Arizona
1,1990,7.9,CA,California 1
1,1990,9.8,CO,Colorado
1,1990,7.9,CT,Connecticut
1,1990,8.4,DC,Delaware
1,1990,8.2,DE,District of Columbia
1,1990,10.9,FL,Florida
1,1990,10.3,GA,Georgia
1,1990,16.4,HI,Hawaii
1,1990,9,IA,Iowa
1,1990,13.9,ID,Idaho
1,1990,8.8,IL,Illinois
1,1990,9.6,IN,Indiana
1,1990,9.2,KS,Kansas
1,1990,13.5,KY,Kentucky
1,1990,9.6,LA,Louisiana
1,1990,7.9,MA,Massachusetts
1,1990,9.7,MD,Maryland
1,1990,9.7,ME,Maine
1,1990,8.2,MI,Michigan
1,1990,7.7,MN,Minnesota
1,1990,9.6,MO,Missouri
1,1990,9.4,MS,Mississippi
1,1990,8.6,MT,Montana
1,1990,7.8,NC,North Carolina
1,1990,7.5,ND,North Dakota
1,1990,8,NE,Nebraska
1,1990,9.5,NH,New Hampshire
1,1990,7.6,NJ,New Jersey
1,1990,8.8,NM,New Mexico
1,1990,99,NV,Nevada
1,1990,8.6,NY,New York
1,1990,9,OH,Ohio
1,1990,10.6,OK,Oklahoma
1,1990,8.9,OR,Oregon
1,1990,7.1,PA,Pennsylvania
1,1990,8.1,RI,Rhode Island
1,1990,15.9,SC,South Carolina
1,1990,11.1,SD,South Dakota
1,1990,13.9,TN,Tennessee
1,1990,10.5,TX,Texas
1,1990,11.2,UT,Utah
1,1990,11.4,VA,Virginia
1,1990,10.9,VT,Vermont
1,1990,9.5,WA,Washington
1,1990,7.9,WI,Wisconsin
1,1990,7.2,WV,West Virginia
1,1990,10.7,WY,Wyoming
1,1995,9,AK,Alaska
1,1995,9.8,AL,Alabama
1,1995,14.4,AR,Arkansas
1,1995,8.8,AZ,Arizona
1,1995,6.3,CA,California 1
1,1995,9,CO,Colorado
1,1995,6.6,CT,Connecticut
1,1995,7.3,DC,Delaware
1,1995,6.1,DE,District of Columbia
1,1995,9.9,FL,Florida
1,1995,8.4,GA,Georgia
1,1995,15.7,HI,Hawaii
1,1995,7.7,IA,Iowa
1,1995,13.1,ID,Idaho
1,1995,6.9,IL,Illinois
1,1995,8.6,IN,Indiana
1,1995,8.5,KS,Kansas
1,1995,12.2,KY,Kentucky
1,1995,9.3,LA,Louisiana
1,1995,7.1,MA,Massachusetts
1,1995,8.4,MD,Maryland
1,1995,8.7,ME,Maine
1,1995,7.3,MI,Michigan
1,1995,7,MN,Minnesota
1,1995,8.3,MO,Missouri
1,1995,7.9,MS,Mississippi
1,1995,7.6,MT,Montana
1,1995,8.4,NC,North Carolina
1,1995,7.1,ND,North Dakota
1,1995,7.3,NE,Nebraska
1,1995,8.3,NH,New Hampshire
1,1995,6.5,NJ,New Jersey
1,1995,8.8,NM,New Mexico
1,1995,85.2,NV,Nevada
