Number of Records,Year,Divorce Rate,State,State_name
1,1990,5.5,AK,Alaska
1,1990,6.1,AL,Alabama
1,1990,6.9,AR,Arkansas
1,1990,6.9,AZ,Arizona
1,1990,4.3,CA,California
1,1990,5.5,CO,Colorado
1,1990,3.2,CT,Connecticut
1,1990,4.4,DC,Delaware
1,1990,4.5,DE,District of Columbia
1,1990,6.3,FL,Florida
1,1990,5.5,GA,Georgia
1,1990,4.6,HI,Hawaii
1,1990,3.9,IA,Iowa
1,1990,6.5,ID,Idaho
1,1990,3.8,IL,Illinois
1,1990,5,KS,Kansas
1,1990,5.8,KY,Kentucky
1,1990,,LA,Louisiana
1,1990,2.8,MA,Massachusetts
1,1990,3.4,MD,Maryland
1,1990,4.3,ME,Maine
1,1990,4.3,MI,Michigan
1,1990,3.5,MN,Minnesota
1,1990,5.1,MO,Missouri
1,1990,5.5,MS,Mississippi
1,1990,5.1,MT,Montana
1,1990,5.1,NC,North Carolina
1,1990,3.6,ND,North Dakota
1,1990,4,NE,Nebraska
1,1990,4.7,NH,New Hampshire
1,1990,3,NJ,New Jersey
1,1990,4.9,NM,New Mexico
1,1990,11.4,NV,Nevada
1,1990,3.2,NY,New York
1,1990,4.7,OH,Ohio
1,1990,7.7,OK,Oklahoma
1,1990,5.5,OR,Oregon
1,1990,3.3,PA,Pennsylvania
1,1990,3.7,RI,Rhode Island
1,1990,4.5,SC,South Carolina
1,1990,3.7,SD,South Dakota
1,1990,6.5,TN,Tennessee
1,1990,5.5,TX,Texas
1,1990,5.1,UT,Utah
1,1990,4.4,VA,Virginia
1,1990,4.5,VT,Vermont
1,1990,5.9,WA,Washington
1,1990,3.6,WI,Wisconsin
1,1990,5.3,WV,West Virginia
1,1990,6.6,WY,Wyoming
1,1995,5,AK,Alaska
1,1995,6,AL,Alabama
1,1995,6.3,AR,Arkansas
1,1995,6.2,AZ,Arizona
1,1995,,CA,California
1,1995,,CO,Colorado
1,1995,2.9,CT,Connecticut
1,1995,5,DC,Delaware
1,1995,3.2,DE,District of Columbia
1,1995,5.5,FL,Florida
1,1995,5.1,GA,Georgia
1,1995,4.6,HI,Hawaii
1,1995,3.7,IA,Iowa
1,1995,5.8,ID,Idaho
1,1995,3.2,IL,Illinois
1,1995,4.1,KS,Kansas
1,1995,5.9,KY,Kentucky
